STATIONSKENNUNG,STATIONSNAME,STATIONS_ID,MaxvonGERAETETYP_NAME,MinvonVON_DATUM,GEOGR_BREITE,GEOGR_LAENGE,STATIONSHOEHE,Niederschlag 1 Min,Schnee manuell,Wind 10 Min,Temperatur und Feuchte 2 m 10 Min,Sonne 10 Min,Erdbodentemperaturen Standard 10 Min,HEADING_BUFR1,HEADING_BUFR2,HEADING_BUFR3,HEADING_BUFR4,HEADING_BUFR5,HEADING_BUFR6,HEADING_BUFR7
H543,Breckerfeld-Wengeberg,6313,AMDA III / N,01-Dec-04,51.248783,7.467166,440.0,2,2,,,,,ISMD84 AMDN,ISID84 AMDN,ISND84 AMDN,ISXD84 AMDN,ISAD84 AMDN,ISHD84 AMDN,ISGD84 AMDN
H547,Wuppertal-Buchenhofen,5717,MODES III S,01-Sep-06,51.225598,7.105176,134.0,4,4,,4,,,ISMD34 AMDS,ISID34 AMDS,ISND34 AMDS,ISXD34 AMDS,ISAD34 AMDS,ISHD34 AMDS,ISGD34 AMDS
H548,Wuppertal,15200,MODES III W,23-May-13,51.253105,7.215618,327.0,,,2,,,,ISMD74 AMDW,ISID74 AMDW,ISND74 AMDW,ISXD74 AMDW,ISAD74 AMDW,ISHD74 AMDW,ISGD74 AMDW
H568,Neuenrade-Blintrop,3499,AMDA III / N,01-Jul-06,51.291467,7.853030,292.0,1,1,,,,,ISMD84 AMDN,ISID84 AMDN,ISND84 AMDN,ISXD84 AMDN,ISAD84 AMDN,ISHD84 AMDN,ISGD84 AMDN
H572,Arnsberg-Neheim,7330,MODES III S,01-Oct-05,51.463383,7.978002,159.0,2,,,2,2,2,ISMD34 AMDS,ISID34 AMDS,ISND34 AMDS,ISXD34 AMDS,ISAD34 AMDS,ISHD34 AMDS,ISGD34 AMDS
H573,Arnsberg-Müschede,13952,MODES III W,01-Feb-09,51.408855,8.009389,277.6,,,4,,,,ISMD74 AMDW,ISID74 AMDW,ISND74 AMDW,ISXD74 AMDW,ISAD74 AMDW,ISHD74 AMDW,ISGD74 AMDW
H579,Eslohe,1300,MODES III S,01-Jun-04,51.253990,8.156530,351.0,4,4,,4,,,ISMD34 AMDS,ISID34 AMDS,ISND34 AMDS,ISXD34 AMDS,ISAD34 AMDS,ISHD34 AMDS,ISGD34 AMDS
H581,Warstein-Hirschberg,5360,AMDA III / N,01-Jul-07,51.431882,8.266476,331.0,1,1,,,,,ISMD84 AMDN,ISID84 AMDN,ISND84 AMDN,ISXD84 AMDN,ISAD84 AMDN,ISHD84 AMDN,ISGD84 AMDN
H590,Haaren,15120,AMDA III / W,01-Mar-12,51.557178,8.701925,378.5,,,1,,,,ISMD74 AMDW,ISID74 AMDW,ISND74 AMDW,ISXD74 AMDW,ISAD74 AMDW,ISHD76 AMDW,ISGD76 AMDW
H591,Brilon-Thülen,6264,AMDA III / S,01-Jun-04,51.413998,8.649983,457.0,2,2,,2,2,,ISMD34 AMDS,ISID34 AMDS,ISND34 AMDS,ISXD34 AMDS,ISAD34 AMDS,ISHD34 AMDS,ISGD34 AMDS
