STATIONSKENNUNG,STATIONSNAME,STATIONS_ID,MaxvonGERAETETYP_NAME,MinvonVON_DATUM,GEOGR_BREITE,GEOGR_LAENGE,STATIONSHOEHE,Niederschlag 1 Min,Schnee manuell,Wind 10 Min,Temperatur und Feuchte 2 m 10 Min,Sonne 10 Min,Erdbodentemperaturen Standard 10 Min,HEADING_BUFR1,HEADING_BUFR2,HEADING_BUFR3,HEADING_BUFR4,HEADING_BUFR5,HEADING_BUFR6,HEADING_BUFR7
K699,Worms,5692,MODES III S,01-Sep-04,49.605078,8.365906,88.0,2,2,,2,,,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
K706,Perl-Sinz-Renglischberg,3905,AMDA III / W,01-Dec-11,49.521403,6.447635,407.4,,,3,,,,ISMD76 AMDW,ISID76 AMDW,ISND76 AMDW,ISXD76 AMDW,ISAD76 AMDW,ISHD76 AMDW,ISGD76 AMDW
K747,Henschtal,1650,AMDA III / N,01-Nov-04,49.464808,7.411082,250.0,1,1,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
K761,Dörrmoschel-Felsbergerhof,1011,MODES III W,01-Nov-08,49.601695,7.741331,442.0,,,6,,,,ISMD76 AMDW,ISID76 AMDW,ISND76 AMDW,ISXD76 AMDW,ISAD76 AMDW,ISHD76 AMDW,ISGD76 AMDW
K762,Ruppertsecken,4323,AMDA III / S,01-Mar-05,49.646838,7.883741,461.0,3,3,,3,,,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
K784,Grünstadt,1870,MODES III N,01-Nov-02,49.566492,8.177970,160.0,2,2,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
K863,Kaiserslautern,2486,AMDA III / S,01-Mar-05,49.426213,7.755714,271.0,1,1,,1,,,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
K866,Trippstadt-Neuhof,5103,AMDA III / N,01-Aug-10,49.354424,7.794751,348.0,2,,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
K881,"Dürkheim, Bad",1072,AMDA III / S,01-Jun-04,49.471913,8.192896,107.0,1,1,,1,,1,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
K925,Pirmasens,3939,AMDA III / S,01-Oct-04,49.191191,7.587900,385.0,2,2,,2,,,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
K969,Rülzheim,4310,MODES III N,01-Jul-04,49.160880,8.300934,105.0,3,3,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
K988,"Bergzabern, Bad",377,AMDA III / S,01-Oct-04,49.107025,7.996749,210.0,1,1,,1,1,1,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
L021,Trendelburg,5086,MODES III N,21-May-10,51.577602,9.433453,133.0,2,2,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
L031,Wahlsburg-Lippoldsberg,5279,AMDA III / S,01-Sep-04,51.619410,9.574910,176.0,1,1,,1,,1,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
L052,Diemelstadt-Rhoden,961,MODES III N,01-Jul-04,51.474284,9.003947,258.0,4,4,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
L071,Liebenau-Haueda,2988,AMDA III / N,01-Jul-04,51.488084,9.250009,162.0,1,1,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
L101,Willingen/Hochsauerland,6303,AMDA III / N,01-Nov-02,51.291509,8.598203,584.0,1,1,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
L113,Korbach-Rhena,2718,AMDA III / N,01-Nov-02,51.288015,8.792783,458.0,1,1,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
L121,Twistetal-Mühlhausen,5133,MODES III S,01-Sep-04,51.334400,8.913191,295.0,2,2,,2,,,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
L125,Waldeck-Alraft,5297,AMDA III / N,01-Oct-04,51.242800,8.971400,300.0,2,2,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
L130,"Arolsen-Landau, Bad",194,AMDA III / N,01-Feb-05,51.343117,9.076333,265.0,1,1,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
L131,"Arolsen-Volkhardinghausen, Bad",197,MODES III W,01-Aug-08,51.321802,9.055840,365.0,,,3,,,,ISMD76 AMDW,ISID76 AMDW,ISND76 AMDW,ISXD76 AMDW,ISAD76 AMDW,ISHD76 AMDW,ISGD76 AMDW
L171,Witzenhausen-Ziegenhagen,5646,AMDA III / N,01-May-04,51.364490,9.749030,220.0,1,1,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
L201,Battenberg-Hof Karlsburg,310,MODES III N,01-Nov-04,51.066152,8.537474,590.0,3,3,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
L215,Frankenberg-Geismar,5851,MODES III W,01-Nov-08,51.080600,8.876900,391.5,,,2,,,,ISMD76 AMDW,ISID76 AMDW,ISND76 AMDW,ISXD76 AMDW,ISAD76 AMDW,ISHD76 AMDW,ISGD76 AMDW
L217,Burgwald-Bottendorf,817,AMDA III / S,08-Mar-10,51.030634,8.814579,293.0,1,1,,1,,,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
L222,Vöhl-Buchenberg,5240,AMDA III / N,01-Jul-04,51.159820,8.873969,380.0,1,1,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
L245,Wabern-Hebel,5263,AMDA III / N,01-Jul-04,51.067003,9.382119,203.0,1,1,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
L271,Hessisch Lichtenau-Fürstenhagen,2184,AMDA III / N,01-Feb-05,51.214187,9.691902,340.0,1,1,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
L286,Sontra,4763,AMDA III / S,01-Oct-04,51.060686,9.926618,265.0,1,1,,1,,,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
L291,Eschwege,1297,MODES III S,01-Oct-04,51.204132,10.013767,156.0,4,4,,4,4,4,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
L292,Eschwege-Eltmannshausen,13701,AMDA III / W,01-Sep-08,51.194520,9.988501,250.2,,,3,,,,ISMD76 AMDW,ISID76 AMDW,ISND76 AMDW,ISXD76 AMDW,ISAD76 AMDW,ISHD76 AMDW,ISGD76 AMDW
L299,Herleshausen-Archfeld,2152,AMDA III / N,19-Aug-10,51.042321,10.146898,380.0,1,1,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
L300,Eschenburg-Eibelshausen,15490,MODES III N,01-Dec-16,50.805316,8.338183,298.0,1,1,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
L312,Wetter/Hessen-Amönau,5524,MODES III N,06-Sep-06,50.908663,8.692898,227.0,2,2,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
L319,"Cölbe, Kr. Marburg-Biedenkopf",3164,AMDA III / S,01-Jul-06,50.849212,8.774608,187.0,1,1,,1,,,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
L340,Gilserberg-Moischeid,1645,AMDA III / S,01-May-04,50.965565,9.050014,340.0,2,2,,2,,,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
L355,Neukirchen-Hauptschwenda,3527,MODES III S,01-May-04,50.892280,9.404980,500.0,2,2,,2,,,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
L409,Driedorf,1055,AMDA III / N,01-Oct-04,50.631590,8.181266,482.0,2,2,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
L411,Dillenburg,979,AMDA III / S,01-Sep-04,50.736371,8.267238,314.0,1,1,,1,1,1,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
L442,Amöneburg-Rüdigheim,158,AMDA III / N,01-Jul-04,50.784026,8.954487,210.0,1,1,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
L463,Alsfeld,90,MODES III W,11-Oct-07,50.755683,9.258325,305.0,,,2,,,,ISMD76 AMDW,ISID76 AMDW,ISND76 AMDW,ISXD76 AMDW,ISAD76 AMDW,ISHD76 AMDW,ISGD76 AMDW
L464,Alsfeld-Eifa,91,AMDA III / S,01-Sep-04,50.744591,9.344972,300.0,1,1,,1,,1,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
L483,Haunetal-Wehrda,2066,AMDA III / N,01-Nov-02,50.738345,9.660793,257.0,2,2,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
L505,Waldbrunn-Lahr,5294,AMDA III / N,01-Sep-05,50.512141,8.132635,280.0,1,1,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
L511,Löhnberg-Obershausen,3042,AMDA III / S,01-Jun-08,50.561656,8.238629,230.0,1,1,,1,,,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
L521,Aßlar Klein-Altenstädten,211,AMDA III / N,01-Nov-04,50.579959,8.468468,200.0,1,1,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
L555,Schotten,4560,AMDA III / S,01-Feb-05,50.492508,9.122558,265.0,3,3,,3,3,,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
L561,Lautertal-Hörgenau,2897,AMDA III / W,01-Nov-08,50.580797,9.285740,522.0,,,1,,,,ISMD76 AMDW,ISID76 AMDW,ISND76 AMDW,ISXD76 AMDW,ISAD76 AMDW,ISHD76 AMDW,ISGD76 AMDW
L582,Petersberg-Marbach,3911,AMDA III / N,01-Jul-04,50.617494,9.724999,305.0,1,1,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
L585,Fulda-Horas,1526,MODES III S,01-Nov-04,50.566806,9.653250,242.0,2,2,,2,,2,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
L592,Tann/Rhön,4978,AMDA III / S,01-Nov-02,50.639028,10.022846,395.0,2,2,,2,,,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
L602,Runkel-Ennerich,6344,MODES III S,01-Dec-04,50.393972,8.142276,168.0,2,2,2,2,2,2,ISMD39 AMDS,ISID39 AMDS,ISND39 AMDS,ISXD39 AMDS,ISAD39 AMDS,ISHD39 AMDS,ISGD39 AMDS
L612,Weilmünster,5416,MODES III N,01-Aug-10,50.428377,8.380557,183.0,2,2,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
L617,"Camberg, Bad",837,MODES III N,01-Jul-04,50.286318,8.294862,244.0,2,2,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
L631,Münzenberg-Gambach,3413,MODES III N,01-Jul-04,50.452232,8.731695,155.0,2,2,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
L635,"Nauheim, Bad",3442,MODES III S,01-Oct-04,50.357372,8.750637,148.5,3,,,3,,,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
L652,Gedern-Schönhausen,1561,AMDA III / N,01-Dec-04,50.404029,9.207518,407.0,1,1,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
L678,Schlüchtern-Herolz,4480,AMDA III / S,01-Sep-04,50.344653,9.553369,230.0,1,1,,1,,,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
L685,Grebenstein,1750,MODES III N,01-Sep-04,51.449789,9.413085,190.0,2,2,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
L714,Hohenstein-Breithardt,2293,MODES III N,01-Dec-04,50.191928,8.087993,315.0,2,,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
L722,Waldems-Reinborn,5300,AMDA III / S,01-Jul-04,50.259603,8.360676,380.0,1,1,,1,,,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
L732,"Homburg, Bad (Filterwerk)",2329,MODES III N,01-Sep-04,50.244571,8.572503,255.0,2,2,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
L744,"Vilbel, Bad-Dortelweil",5225,AMDA III / N,01-May-04,50.213490,8.745250,125.0,1,1,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
L751,Nidderau-Erbstadt,3589,MODES III N,01-Jun-04,50.274060,8.865290,162.0,4,4,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
L771,Gründau-Breitenborn,1863,AMDA III / S,01-Dec-07,50.266701,9.185383,258.0,2,2,,2,,2,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
L773,Wächtersbach,479,MODES III N,01-Feb-05,50.243529,9.289306,138.0,3,3,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
L781,"Soden,Bad-Salmünster (Kläranlage)",13900,AMDA III / S,10-Sep-08,50.268765,9.357955,145.0,,,1,,1,,ISMD76 AMDW,ISID76 AMDW,ISND76 AMDW,ISXD76 AMDW,ISAD76 AMDW,ISHD76 AMDW,ISGD76 AMDW
L803,Rüdesheim-Presberg,4308,AMDA III / N,24-Jul-02,50.051660,7.887550,403.0,2,2,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
L819,Wiesbaden-Biebrich,5542,MODES III N,01-Jul-04,50.042119,8.233134,90.0,2,2,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
L821,Wiesbaden-Auringen,5541,MODES III S,01-Aug-04,50.132020,8.316950,263.0,2,2,,2,,,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
L829,Raunheim,4090,MODES III N,01-Aug-05,50.005626,8.429069,89.0,2,2,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
L841,Frankfurt/Main-Westend,1424,AMDA III / S,23-Jun-08,50.126906,8.669403,124.0,1,,,1,,,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
L850,Mühlheim/Main,3136,MODES III N,01-Nov-02,50.129438,8.820886,102.0,2,2,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
L865,Groß-Gerau-Wallerstädten,1814,AMDA III / N,01-Jun-04,49.905232,8.445949,87.0,1,1,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
L886,Darmstadt,917,MODES III S,01-Sep-04,49.880895,8.677906,162.0,3,3,,3,,,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
L891,Rödermark-Ober-Roden,4230,AMDA III / N,01-Nov-02,49.983205,8.839542,137.0,1,1,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
L892,Reinhardshagen-Vaake,4132,AMDA III / N,01-Nov-02,51.484127,9.612059,115.0,1,1,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
L894,Schaafheim-Schlierbach,4411,AMDA III / S,01-May-04,49.919516,8.967138,155.0,2,2,,2,2,,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
L926,Lautertal/Odenwald-Reichenbach,2900,AMDA III / N,01-Dec-07,49.709003,8.690797,208.3,1,1,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
L947,Michelstadt,3284,MODES III S,01-May-05,49.669107,9.008549,240.0,2,2,,2,,,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
L979,Birkenau,14157,MODES III N,01-Dec-09,49.568553,8.701319,168.0,2,2,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
L987,Oberzent-Beerfelden-Vogelherd,7391,MODES III W,01-Feb-12,49.556099,8.966935,442.6,,,2,,,,ISMD76 AMDW,ISID76 AMDW,ISND76 AMDW,ISXD76 AMDW,ISAD76 AMDW,ISHD76 AMDW,ISGD76 AMDW
L988,Oberzent-Beerfelden,330,MODES III S,01-Aug-04,49.561729,8.967329,450.0,3,3,,3,,,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
M031,Ellrich-Werna,5484,MODES III N,01-May-04,51.583452,10.709031,240.0,2,2,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
M056,Reinholterode,4135,MODES III N,01-Jun-07,51.424764,10.189764,336.0,2,2,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
M146,Helbedündorf-Keula,2562,MODES III N,01-Mar-09,51.333985,10.528996,428.0,2,2,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
M225,Mühlhausen/Thüringen-Görmar,6305,MODES III S,01-Dec-04,51.206117,10.497829,193.0,3,3,,3,,,ISMD31 AMDS,ISID31 AMDS,ISND31 AMDS,ISXD31 AMDS,ISAD31 AMDS,ISHD31 AMDS,ISGD31 AMDS
M259,Freienbessingen,3304,MODES III N,01-Apr-07,51.232620,10.769283,296.0,2,2,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
M281,Etzleben,1320,AMDA III / N,01-May-04,51.260977,11.175368,137.0,1,1,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
M299,Olbersleben,7321,AMDA III / S,01-Sep-05,51.150665,11.332074,160.0,1,1,,1,,,ISMD31 AMDS,ISID31 AMDS,ISND31 AMDS,ISXD31 AMDS,ISAD31 AMDS,ISHD31 AMDS,ISGD31 AMDS
M301,Südeichsfeld-Wendehausen,5084,AMDA III / N,01-Feb-07,51.159397,10.247286,290.0,1,1,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
M348,Dachwig,896,AMDA III / S,01-Aug-04,51.077772,10.861875,170.0,1,1,,1,,,ISMD31 AMDS,ISID31 AMDS,ISND31 AMDS,ISXD31 AMDS,ISAD31 AMDS,ISHD31 AMDS,ISGD31 AMDS
M357,Alperstedt,87,MODES III N,01-Feb-05,51.095024,11.047932,158.0,2,2,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
M405,Moorgrund Gräfen-Nitzendorf,6272,AMDA III / S,01-Oct-04,50.842611,10.251823,283.0,1,1,,1,,,ISMD31 AMDS,ISID31 AMDS,ISND31 AMDS,ISXD31 AMDS,ISAD31 AMDS,ISHD31 AMDS,ISGD31 AMDS
M412,Hörselberg-Hainich-Behringen,336,AMDA III / N,01-Sep-04,51.022141,10.514781,290.0,1,1,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
M439,"Berka, Bad (Flugplatz)",379,MODES III S,01-Sep-17,50.907431,11.266503,303.0,1,1,,1,,,ISMD31 AMDS,ISID31 AMDS,ISND31 AMDS,ISXD31 AMDS,ISAD31 AMDS,ISHD31 AMDS,ISGD31 AMDS
M448,Weimar-Schöndorf,5424,AMDA III / S,01-Jun-07,51.017650,11.354409,328.0,3,3,,3,3,,ISMD31 AMDS,ISID31 AMDS,ISND31 AMDS,ISXD31 AMDS,ISAD31 AMDS,ISHD31 AMDS,ISGD31 AMDS
M473,Crossen/Elster-Nickelsdorf,6271,AMDA III / N,01-Jun-04,50.977058,12.004396,272.0,1,1,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
M480,Meuselwitz,3279,AMDA III / N,01-Nov-02,51.045194,12.298860,173.0,1,1,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
M488,Starkenberg-Tegkwitz,4997,MODES III S,01-Mar-05,50.977089,12.341939,193.0,2,2,,2,,,ISMD31 AMDS,ISID31 AMDS,ISND31 AMDS,ISXD31 AMDS,ISAD31 AMDS,ISHD31 AMDS,ISGD31 AMDS
M500,Ponitz,7328,MODES III N,01-Jan-06,50.854334,12.421647,219.0,2,2,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
M520,Waltershausen,5335,AMDA III / S,01-Aug-06,50.896257,10.548421,348.0,1,1,,1,,,ISMD31 AMDS,ISID31 AMDS,ISND31 AMDS,ISXD31 AMDS,ISAD31 AMDS,ISHD31 AMDS,ISGD31 AMDS
M552,Jena (Sternwarte),2444,MODES III S,01-Aug-04,50.925141,11.582984,155.0,3,3,,3,,3,ISMD31 AMDS,ISID31 AMDS,ISND31 AMDS,ISXD31 AMDS,ISAD31 AMDS,ISHD31 AMDS,ISGD31 AMDS
M557,Bucha,753,AMDA III / N,01-May-04,50.870049,11.502199,310.0,1,,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
